item_id,description_cy,description_eg,parent_id,sort_order,category_key,category_cy,category_eg,notes_cy,notes_eg,alternate_id
T,Pob oed,All ages,,1,Age/All,Oed - pob,Age - all,,,
15under,15 oed ac iau,15 and under,T,2,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
1664,16-64 oed,16 to 64,T,3,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
65plus,65 oed a hŷn,over,T,4,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
0,0 oed,0 years,15under,5,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
1,1 oed,1 year,15under,6,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
2,2 oed,2 years,15under,7,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
3,3 oed,3 years,15under,8,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
4,4 oed,4 years,15under,9,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
5,5 oed,5 years,15under,10,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
6,6 oed,6 years,15under,11,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
7,7 oed,7 years,15under,12,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
8,8 oed,8 years,15under,13,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
9,9 oed,9 years,15under,14,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
10,10 oed,10 years,15under,15,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
11,11 oed,11 years,15under,16,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
12,12 oed,12 years,15under,17,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
13,13 oed,13 years,15under,18,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
14,14 oed,14 years,15under,19,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
15,15 oed,15 years,15under,20,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
16,16 oed,16 years,1664,21,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
17,17 oed,17 years,1664,22,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
18,18 oed,18 years,1664,23,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
19,19 oed,19 years,1664,24,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
20,20 oed,20 years,1664,25,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
21,21 oed,21 years,1664,26,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
22,22 oed,22 years,1664,27,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
23,23 oed,23 years,1664,28,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
24,24 oed,24 years,1664,29,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
25,25 oed,25 years,1664,30,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
26,26 oed,26 years,1664,31,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
27,27 oed,27 years,1664,32,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
28,28 oed,28 years,1664,33,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
29,29 oed,29 years,1664,34,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
30,30 oed,30 years,1664,35,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
31,31 oed,31 years,1664,36,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
32,32 oed,32 years,1664,37,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
33,33 oed,33 years,1664,38,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
34,34 oed,34 years,1664,39,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
35,35 oed,35 years,1664,40,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
36,36 oed,36 years,1664,41,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
37,37 oed,37 years,1664,42,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
38,38 oed,38 years,1664,43,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
39,39 oed,39 years,1664,44,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
40,40 oed,40 years,1664,45,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
41,41 oed,41 years,1664,46,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
42,42 oed,42 years,1664,47,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
43,43 oed,43 years,1664,48,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
44,44 oed,44 years,1664,49,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
45,45 oed,45 years,1664,50,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
46,46 oed,46 years,1664,51,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
47,47 oed,47 years,1664,52,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
48,48 oed,48 years,1664,53,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
49,49 oed,49 years,1664,54,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
50,50 oed,50 years,1664,55,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
51,51 oed,51 years,1664,56,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
52,52 oed,52 years,1664,57,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
53,53 oed,53 years,1664,58,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
54,54 oed,54 years,1664,59,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
55,55 oed,55 years,1664,60,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
56,56 oed,56 years,1664,61,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
57,57 oed,57 years,1664,62,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
58,58 oed,58 years,1664,63,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
59,59 oed,59 years,1664,64,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
60,60 oed,60 years,1664,65,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
61,61 oed,61 years,1664,66,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
62,62 oed,62 years,1664,67,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
63,63 oed,63 years,1664,68,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
64,64 oed,64 years,1664,69,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
65,65 oed,65 years,65plus,70,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
66,66 oed,66 years,65plus,71,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
67,67 oed,67 years,65plus,72,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
68,68 oed,68 years,65plus,73,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
69,69 oed,69 years,65plus,74,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
70,70 oed,70 years,65plus,75,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
71,71 oed,71 years,65plus,76,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
72,72 oed,72 years,65plus,77,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
73,73 oed,73 years,65plus,78,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
74,74 oed,74 years,65plus,79,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
75,75 oed,75 years,65plus,80,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
76,76 oed,76 years,65plus,81,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
77,77 oed,77 years,65plus,82,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
78,78 oed,78 years,65plus,83,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
79,79 oed,79 years,65plus,84,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
80,80 oed,80 years,65plus,85,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
81,81 oed,81 years,65plus,86,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
82,82 oed,82 years,65plus,87,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
83,83 oed,83 years,65plus,88,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
84,84 oed,84 years,65plus,89,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
85,85 oed,85 years,65plus,90,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
86,86 oed,86 years,65plus,91,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
87,87 oed,87 years,65plus,92,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
88,88 oed,88 years,65plus,93,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
89,89 oed,89 years,65plus,94,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
90plus,90 oed a hŷn,90 years and older,65plus,95,Age/SYA,Oed - blwyddyn sengl,Age - single year,,,
5A,0-4 oed,0-4 years,T,96,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5B,5-9 oed,5-9 years,T,97,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5C,10-14 oed,10-14 years,T,98,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5D,15-19 oed,15-19 years,T,99,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5E,20-24 oed,20-24 years,T,100,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5F,25-29 oed,25-29 years,T,101,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5G,30-34 oed,30-34 years,T,102,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5H,35-39 oed,35-39 years,T,103,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5I,40-44 oed,40-44 years,T,104,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5J,45-49 oed,45-49 years,T,105,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5K,50-54 oed,50-54 years,T,106,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5L,55-59 oed,55-59 years,T,107,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5M,60-64 oed,60-64 years,T,108,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5N,65-69 oed,65-69 years,T,109,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5O,70-74 oed,70-74 years,T,110,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5P,75-79 oed,75-79 years,T,111,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5Q,80-84 oed,80-84 years,T,112,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
5R,85 oed a hŷn,85 years and older,T,113,Age/5YR,Oed - bandiau pum mlynedd,Age - five year bands,,,
10A,17 oed ac iau,17 years and younger,,114,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10B,18-24 oed ,18-24 years,,115,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10C,25-34 oed,25-34 years,,116,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10D,35-44 oed,35-44 years,,117,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10E,45-54 oed,45-54 years,,118,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10F,55-64 oed,55-64 years,,119,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10G,65-74 oed,65-74 years,,120,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10H,75-84 oed,75-84 years,,121,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
10I,85 oed a hŷn,85 years and older,,122,Age/10Y,Oed - bandiau deng mlynedd,Age - ten year bands,,,
Educ1,15 oed ac iau,15 years and under,,123,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ2,16 oed,16 years,,124,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ3,17 oed,17 years,,125,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ4,18 oed,18 years,,126,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ5,19 oed,19 years,,127,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ6,20-24 oed,20-24 years,,128,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ7,25-39 oed,25-39 years,,129,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ8,40-49 oed,40-49 years,,130,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ9,50-59 oed,50-59 years,,131,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ10,60-64 oed,60-64 years,,132,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Educ11,65 oed a hŷn,65 years and older,,133,Age/Educ,Oed - bandiau addysg,Age - education bands,,,
Q1,4 oed ac iau,4 yeas and under,,134,Age/Quin,"Age - Chwarteli (babanod, plant, oedolion, pobl hŷn)","Age - Quartiles (infants, children, adults, elderly)",,,
Q2,5-17 oed,5-17 years,,135,Age/Quin,"Age - Chwarteli (babanod, plant, oedolion, pobl hŷn)","Age - Quartiles (infants, children, adults, elderly)",,,
Q3,18-64 oed,18-64 years,,136,Age/Quin,"Age - Chwarteli (babanod, plant, oedolion, pobl hŷn)","Age - Quartiles (infants, children, adults, elderly)",,,
Q4,65 oed a hŷn,65 years and older,,137,Age/Quin,"Age - Chwarteli (babanod, plant, oedolion, pobl hŷn)","Age - Quartiles (infants, children, adults, elderly)",,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
