item_id,description_cy,description_eg,parent_id,sort_order,category_key,category_cy,category_eg,notes_cy,notes_eg,alternate_id
T,Pob ethnigrwydd,All ethnicities,,1,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
A,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig","Asian, Asian British or Asian Welsh",T,2,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
B,"Du, Du Prydeinig, Du Cymraeig, Caribiaidd neu Affricanaidd","Black, Black British, Black Welsh, Caribbean or African",T,3,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
M,Grwpiau ethnig Cymysg neu Luosog,Mixed or Multiple ethnic groups,T,4,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
W,Gwyn,White,T,5,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,"Glan gynnyws Teithwir, Sipsi a Roma","Includes Travellers, Gypsy and Roma",
O,Grwp ethnig arall,Other ethnic group,T,6,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
1,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig: Bangladeshaidd","Asian, Asian British or Asian Welsh: Bangladeshi",A,7,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
2,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig: Tsieineaidd","Asian, Asian British or Asian Welsh: Chinese",A,8,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
3,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig: Indiaidd","Asian, Asian British or Asian Welsh: Indian",A,9,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
4,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig: Pacistanaidd","Asian, Asian British or Asian Welsh: Pakistani",A,10,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
5,"Asiaidd, Asiaidd Prydeinig neu Asiaidd Cymreig: Asiaidd arall","Asian, Asian British or Asian Welsh: Other Asian",A,11,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
6,"Du, Du Prydeinig, Du Cymraeig, Caribiaidd neu Affricanaidd: Affricanaidd","Black, Black British, Black Welsh, Caribbean or African: African",B,12,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
7,"Du, Du Prydeinig, Du Cymraeig, Caribiaidd neu Affricanaidd: Caribiaidd","Black, Black British, Black Welsh, Caribbean or African: Caribbean",B,13,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
8,"Du, Du Prydeinig, Du Cymraeig, Caribiaidd neu Affricanaidd: Du arall","Black, Black British, Black Welsh, Caribbean or African: Other Black",B,14,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
9,Grwpiau ethnig Cymysg neu Luosog: Gwyn ac Asiaidd,Mixed or Multiple ethnic groups: White and Asian,M,15,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
10,Grwpiau ethnig Cymysg neu Luosog: Gwyn ac Du Affricanaidd,Mixed or Multiple ethnic groups: White and Black African,M,16,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
11,Grwpiau ethnig Cymysg neu Luosog: Gwyn ac Du Caribiaidd,Mixed or Multiple ethnic groups: White and Black Caribbean,M,17,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
12,Grwpiau ethnig Cymysg neu Luosog: Grwpiau ethnig Cymysg neu Luosog eraill,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,M,18,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
13,"Gwyn: Cymreig, Saesnig, Albanaidd, Gwyddeleg Gogleddol neu Brydeinig","White: Welsh, English, Scottish, Northern Irish or British",W,19,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
14,Gwyn: Gwyddelig,White: Irish,W,20,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
15,Gwyn: Sipsi neu deithiwr Gwyddelig,White: Gypsy or Irish Traveller,W,21,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
16,Gwyn: Roma,White: Roma,W,22,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,Ychwanegwyd 2021,Addded 2021,
17,Gwyn: Gwyn arall,White: Other White,W,23,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
18,Grwp ethnig arall,Other ethnic group: Arab,O,24,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
19,Grwp ethnig arall,Other ethnic group: Any other ethnic group,O,25,Eth/Detailed,Ethnigrwydd - Manwl,Ethnicity - Detailed,,,
N,Ddim yn berthnasol,Does not apply,T,26,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
U,Gwybodaeth ddim ar gael,Information unavailable,T,27,Eth/Broad,Ethnigrwydd - Eang,Ethnicity - Broad,,,
