item_id,description_cy,description_eg,parent_id,sort_order,category_key,category_cy,category_eg,notes_cy,notes_eg,alternate_id
K02000001,Y Deyrnas Unedig,United Kingdom,,,Geog/UK,UK,UK,,,
596,Cymru,Wales,K02000001,,Geog/UKCountry,Gwlad UK,UK Country,,,W92000004
E92000001,Lloegr,England,K02000001,,Geog/UKCountry,Gwlad UK,UK Country,,,
S92000003,Yr Alban,Scotland,K02000001,,Geog/UKCountry,Gwlad UK,UK Country,,,
N92000002,Gogledd Iwerddon,Northern Ireland,K02000001,,Geog/UKCountry,Gwlad UK,UK Country,,,
512,Ynys Mon,Isle of Anglesey,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000001
514,Gwynedd,Gwynedd,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000002
516,Conwy,Conwy,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000003
518,Sir Ddinbych,Denbighshire,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000004
520,Sir Y Fflint,Flintshire,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000005
522,Wrecsam,Wrexham,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000006
524,Powys,Powys,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000023
526,Ceredigion,Ceredigion,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000008
528,Sir Benfro,Pembrokeshire,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000009
530,Sir Gaerfryddin,Carmarthenshire,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000010
532,Abertawe,Swansea,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000011
534,Castell-nedd Port Talbot,Neath Port Talbot,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000012
536,Pen-y-bont ar Ogwr,Bridgend,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000013
538,Bro Morgannwg,Vale of Glamorgan,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000014
540,Rhondda Cynon Taf,Rhondda Cynon Taf,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000016
542,Merthyr Tudful,Merthyr Tydfil,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000024
544,Caerffili,Caerphilly,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000018
545,Blaenau Gwent,Blaenau Gwent,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000019
546,Torfaen,Torfaen,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000020
548,Sir Fynwy,Monmouthshire,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000021
550,Casnewydd,Newport,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000022
552,Caerdydd,Cardiff,596,,Geog/LA,Awdurdod Lleol,Local Authority,,,W06000015
7A1,Betsi Cadwaladr,Betsi Cadwaladr,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000023
7A7,Powys,Powys,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000024
7A2,Hywel Dda,Hywel Dda,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000025
7A3x,Abertawe Bro Morgannwg,Abertawe Bro Morgannwg,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000026
7A5x,Cwm Taf,Cwm Taf,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000027
7A6,Aneurin Bevan,Aneurin Bevan,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000028
7A4,Caerdydd a'r Fro,Cardiff and Vale,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000029
7A3,Bae Abertawe,Swansea Bay,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000031
7A5,Cwm Taf Morgannwg,Cwm Taf Morgannwg,596,,Geog/LHB,Bwrdd Lechyd Lleol,Local Health Board,,,W11000030
E12000006,Dwyrain Lloegr,East of England,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000004,Dwyrain Canolbarth Lloegr,East Midlands,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000007,Llundain,London,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000001,Gogledd-ddwyrain Lloegr,North East,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000002,Gogledd-orllewin Lloegr,North West,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000008,De-ddwyrain Lloegr,South East,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000009,De-orllewin Lloegr,South West,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000005,Gorllewin Canolbarth Lloegr,West Midlands,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
E12000003,Swydd Efrog a'r Humber,Yorkshire and the Humber,E92000001,,Geog/EngReg,Rhanbarth Lloegr,English Region,,,
456,Mynwy,Monmouth,450,,Geog/Const,Etholaeth,Constituency,,,W09000034
447,Rhondda,Rhondda,440,,Geog/Const,Etholaeth,Constituency,,,W09000025
448,Cwm Cynon,Cynon Valley,440,,Geog/Const,Etholaeth,Constituency,,,W09000026
450,Dwyrain De Cymru,South Wales East,596,,Geog/Const,Etholaeth,Constituency,,,W10000008
451,Merthyr Tudful a Rhymni,Merthyr Tydfil and Rhymney,450,,Geog/Const,Etholaeth,Constituency,,,W09000044
452,Caerffili,Caerphilly,450,,Geog/Const,Etholaeth,Constituency,,,W09000035
453,Islwyn,Islwyn,450,,Geog/Const,Etholaeth,Constituency,,,W09000036
445,Gorllewin Caerdydd,Cardiff West,440,,Geog/Const,Etholaeth,Constituency,,,W09000029
455,Torfaen,Torfaen,450,,Geog/Const,Etholaeth,Constituency,,,W09000037
457,Dwyrain Casnewydd,Newport East,450,,Geog/Const,Etholaeth,Constituency,,,W09000040
458,Gorllewin Casnewydd,Newport West,450,,Geog/Const,Etholaeth,Constituency,,,W09000039
410,Gogledd Cymru,North Wales,596,,Geog/Const,Etholaeth,Constituency,,,W10000001
411,Ynys Mon,Ynys Mon,410,,Geog/Const,Etholaeth,Constituency,,,W09000001
412,Arfon,Arfon,410,,Geog/Const,Etholaeth,Constituency,,,W09000002
413,Aberconwy,Aberconwy,410,,Geog/Const,Etholaeth,Constituency,,,W09000003
414,Gorllewin Clwyd,Clwyd West,410,,Geog/Const,Etholaeth,Constituency,,,W09000004
454,Blaenau Gwent,Blaenau Gwent,450,,Geog/Const,Etholaeth,Constituency,,,W09000038
440,Canol De Cymru,South Wales Central,596,,Geog/Const,Etholaeth,Constituency,,,W10000007
434,Castell-nedd,Neath,430,,Geog/Const,Etholaeth,Constituency,,,W09000021
435,Aberafan,Aberavon,430,,Geog/Const,Etholaeth,Constituency,,,W09000022
446,Pontypridd,Pontypridd,440,,Geog/Const,Etholaeth,Constituency,,,W09000046
437,Ogwr,Ogmore,430,,Geog/Const,Etholaeth,Constituency,,,W09000045
441,Bro Morgannwg,Vale of Glamorgan,440,,Geog/Const,Etholaeth,Constituency,,,W09000047
442,De Caerdydd a Phenarth,Cardiff South and Penarth,440,,Geog/Const,Etholaeth,Constituency,,,W09000043
443,Canol Caerdydd,Cardiff Central,440,,Geog/Const,Etholaeth,Constituency,,,W09000031
444,Gogledd Caerdydd,Cardiff North,440,,Geog/Const,Etholaeth,Constituency,,,W09000042
419,De Clwyd,Clwyd South,410,,Geog/Const,Etholaeth,Constituency,,,W09000009
