"month_id","desc_num","desc_cy","desc_eg","abbr_cy","abbr_eg","quarter","year_cal","year_fin","year_acd"
"1970-01","01/1970","Ionwar 1970","January 1970","Ion 1970","Jan 1970","1970Q1","1970","1969-70","1969-70"
"1970-02","02/1970","Chwefror 1970","February 1970","Chwef 1970","Feb 1970","1970Q1","1970","1969-70","1969-70"
"1970-03","03/1970","Mawrth 1970","March 1970","Maw 1970","Mar 1970","1970Q1","1970","1969-70","1969-70"
"1970-04","04/1970","Ebril 1970","April 1970","Ebr 1970","Apr 1970","1970Q2","1970","1970-71","1969-70"
"1970-05","05/1970","Mai 1970","May 1970","Mai 1970","May 1970","1970Q2","1970","1970-71","1969-70"
"1970-06","06/1970","Mehefin 1970","June 1970","Meh 1970","June 1970","1970Q2","1970","1970-71","1969-70"
"1970-07","07/1970","Gorffennhaf 1970","July 1970","Gorff 1970","July 1970","1970Q3","1970","1970-71","1969-70"
"1970-08","08/1970","Awst 1970","August 1970","Awst 1970","Aug 1970","1970Q3","1970","1970-71","1969-70"
"1970-09","09/1970","Medi 1970","September 1970","Medi 1970","Sept 1970","1970Q3","1970","1970-71","1970-71"
"1970-10","10/1970","Hydref 1970","October 1970","Hyd 1970","Oct 1970","1970Q4","1970","1970-71","1970-71"
"1970-11","11/1970","Tachwedd 1970","November 1970","Tach 1970","Nov 1970","1970Q4","1970","1970-71","1970-71"
"1970-12","12/1970","Rhagfyr 1970","December 1970","Rhag 1970","Dec 1970","1970Q4","1970","1970-71","1970-71"
"1971-01","01/1971","Ionwar 1971","January 1971","Ion 1971","Jan 1971","1971Q1","1971","1970-71","1970-71"
"1971-02","02/1971","Chwefror 1971","February 1971","Chwef 1971","Feb 1971","1971Q1","1971","1970-71","1970-71"
"1971-03","03/1971","Mawrth 1971","March 1971","Maw 1971","Mar 1971","1971Q1","1971","1970-71","1970-71"
"1971-04","04/1971","Ebril 1971","April 1971","Ebr 1971","Apr 1971","1971Q2","1971","1971-72","1970-71"
"1971-05","05/1971","Mai 1971","May 1971","Mai 1971","May 1971","1971Q2","1971","1971-72","1970-71"
"1971-06","06/1971","Mehefin 1971","June 1971","Meh 1971","June 1971","1971Q2","1971","1971-72","1970-71"
"1971-07","07/1971","Gorffennhaf 1971","July 1971","Gorff 1971","July 1971","1971Q3","1971","1971-72","1970-71"
"1971-08","08/1971","Awst 1971","August 1971","Awst 1971","Aug 1971","1971Q3","1971","1971-72","1970-71"
"1971-09","09/1971","Medi 1971","September 1971","Medi 1971","Sept 1971","1971Q3","1971","1971-72","1971-72"
"1971-10","10/1971","Hydref 1971","October 1971","Hyd 1971","Oct 1971","1971Q4","1971","1971-72","1971-72"
"1971-11","11/1971","Tachwedd 1971","November 1971","Tach 1971","Nov 1971","1971Q4","1971","1971-72","1971-72"
