"quarter_id","name_cy","name_eg","abbr_cy","abbr_eg","year_cal","year_fin"
"1970Q1","Chwarter 1 1970","Quarter 1 1970","C1-70","Q1-70","1970","1969-70"
"1970Q2","Chwarter 2 1970","Quarter 2 1970","C2-70","Q2-70","1970","1970-71"
"1970Q3","Chwarter 3 1970","Quarter 3 1970","C3-70","Q3-70","1970","1970-71"
"1970Q4","Chwarter 4 1970","Quarter 4 1970","C4-70","Q4-70","1970","1970-71"
"1971Q1","Chwarter 1 1971","Quarter 1 1971","C1-71","Q1-71","1971","1970-71"
"1971Q2","Chwarter 2 1971","Quarter 2 1971","C2-71","Q2-71","1971","1971-72"
"1971Q3","Chwarter 3 1971","Quarter 3 1971","C3-71","Q3-71","1971","1971-72"
"1971Q4","Chwarter 4 1971","Quarter 4 1971","C4-71","Q4-71","1971","1971-72"
"1972Q1","Chwarter 1 1972","Quarter 1 1972","C1-72","Q1-72","1972","1971-72"
"1972Q2","Chwarter 2 1972","Quarter 2 1972","C2-72","Q2-72","1972","1972-73"
"1972Q3","Chwarter 3 1972","Quarter 3 1972","C3-72","Q3-72","1972","1972-73"
"1972Q4","Chwarter 4 1972","Quarter 4 1972","C4-72","Q4-72","1972","1972-73"
"1973Q1","Chwarter 1 1973","Quarter 1 1973","C1-73","Q1-73","1973","1972-73"
"1973Q2","Chwarter 2 1973","Quarter 2 1973","C2-73","Q2-73","1973","1973-74"
"1973Q3","Chwarter 3 1973","Quarter 3 1973","C3-73","Q3-73","1973","1973-74"
"1973Q4","Chwarter 4 1973","Quarter 4 1973","C4-73","Q4-73","1973","1973-74"
"1974Q1","Chwarter 1 1974","Quarter 1 1974","C1-74","Q1-74","1974","1973-74"
"1974Q2","Chwarter 2 1974","Quarter 2 1974","C2-74","Q2-74","1974","1974-75"
"1974Q3","Chwarter 3 1974","Quarter 3 1974","C3-74","Q3-74","1974","1974-75"
"1974Q4","Chwarter 4 1974","Quarter 4 1974","C4-74","Q4-74","1974","1974-75"
"1975Q1","Chwarter 1 1975","Quarter 1 1975","C1-75","Q1-75","1975","1974-75"
"1975Q2","Chwarter 2 1975","Quarter 2 1975","C2-75","Q2-75","1975","1975-76"
"1975Q3","Chwarter 3 1975","Quarter 3 1975","C3-75","Q3-75","1975","1975-76"
"1975Q4","Chwarter 4 1975","Quarter 4 1975","C4-75","Q4-75","1975","1975-76"
"1976Q1","Chwarter 1 1976","Quarter 1 1976","C1-76","Q1-76","1976","1975-76"
"1976Q2","Chwarter 2 1976","Quarter 2 1976","C2-76","Q2-76","1976","1976-77"
"1976Q3","Chwarter 3 1976","Quarter 3 1976","C3-76","Q3-76","1976","1976-77"
"1976Q4","Chwarter 4 1976","Quarter 4 1976","C4-76","Q4-76","1976","1976-77"
"1977Q1","Chwarter 1 1977","Quarter 1 1977","C1-77","Q1-77","1977","1976-77"
"1977Q2","Chwarter 2 1977","Quarter 2 1977","C2-77","Q2-77","1977","1977-78"
"1977Q3","Chwarter 3 1977","Quarter 3 1977","C3-77","Q3-77","1977","1977-78"
"1977Q4","Chwarter 4 1977","Quarter 4 1977","C4-77","Q4-77","1977","1977-78"
"1978Q1","Chwarter 1 1978","Quarter 1 1978","C1-78","Q1-78","1978","1977-78"
"1978Q2","Chwarter 2 1978","Quarter 2 1978","C2-78","Q2-78","1978","1978-79"
"1978Q3","Chwarter 3 1978","Quarter 3 1978","C3-78","Q3-78","1978","1978-79"
"1978Q4","Chwarter 4 1978","Quarter 4 1978","C4-78","Q4-78","1978","1978-79"
"1979Q1","Chwarter 1 1979","Quarter 1 1979","C1-79","Q1-79","1979","1978-79"
"1979Q2","Chwarter 2 1979","Quarter 2 1979","C2-79","Q2-79","1979","1979-80"
"1979Q3","Chwarter 3 1979","Quarter 3 1979","C3-79","Q3-79","1979","1979-80"
"1979Q4","Chwarter 4 1979","Quarter 4 1979","C4-79","Q4-79","1979","1979-80"
"1980Q1","Chwarter 1 1980","Quarter 1 1980","C1-80","Q1-80","1980","1979-80"
"1980Q2","Chwarter 2 1980","Quarter 2 1980","C2-80","Q2-80","1980","1980-81"
"1980Q3","Chwarter 3 1980","Quarter 3 1980","C3-80","Q3-80","1980","1980-81"
"1980Q4","Chwarter 4 1980","Quarter 4 1980","C4-80","Q4-80","1980","1980-81"
"1981Q1","Chwarter 1 1981","Quarter 1 1981","C1-81","Q1-81","1981","1980-81"
"1981Q2","Chwarter 2 1981","Quarter 2 1981","C2-81","Q2-81","1981","1981-82"
"1981Q3","Chwarter 3 1981","Quarter 3 1981","C3-81","Q3-81","1981","1981-82"
"1981Q4","Chwarter 4 1981","Quarter 4 1981","C4-81","Q4-81","1981","1981-82"
"1982Q1","Chwarter 1 1982","Quarter 1 1982","C1-82","Q1-82","1982","1981-82"
"1982Q2","Chwarter 2 1982","Quarter 2 1982","C2-82","Q2-82","1982","1982-83"
"1982Q3","Chwarter 3 1982","Quarter 3 1982","C3-82","Q3-82","1982","1982-83"
"1982Q4","Chwarter 4 1982","Quarter 4 1982","C4-82","Q4-82","1982","1982-83"
"1983Q1","Chwarter 1 1983","Quarter 1 1983","C1-83","Q1-83","1983","1982-83"
"1983Q2","Chwarter 2 1983","Quarter 2 1983","C2-83","Q2-83","1983","1983-84"
"1983Q3","Chwarter 3 1983","Quarter 3 1983","C3-83","Q3-83","1983","1983-84"
"1983Q4","Chwarter 4 1983","Quarter 4 1983","C4-83","Q4-83","1983","1983-84"
"1984Q1","Chwarter 1 1984","Quarter 1 1984","C1-84","Q1-84","1984","1983-84"
"1984Q2","Chwarter 2 1984","Quarter 2 1984","C2-84","Q2-84","1984","1984-85"
"1984Q3","Chwarter 3 1984","Quarter 3 1984","C3-84","Q3-84","1984","1984-85"
"1984Q4","Chwarter 4 1984","Quarter 4 1984","C4-84","Q4-84","1984","1984-85"
"1985Q1","Chwarter 1 1985","Quarter 1 1985","C1-85","Q1-85","1985","1984-85"
"1985Q2","Chwarter 2 1985","Quarter 2 1985","C2-85","Q2-85","1985","1985-86"
"1985Q3","Chwarter 3 1985","Quarter 3 1985","C3-85","Q3-85","1985","1985-86"
"1985Q4","Chwarter 4 1985","Quarter 4 1985","C4-85","Q4-85","1985","1985-86"
"1986Q1","Chwarter 1 1986","Quarter 1 1986","C1-86","Q1-86","1986","1985-86"
"1986Q2","Chwarter 2 1986","Quarter 2 1986","C2-86","Q2-86","1986","1986-87"
"1986Q3","Chwarter 3 1986","Quarter 3 1986","C3-86","Q3-86","1986","1986-87"
"1986Q4","Chwarter 4 1986","Quarter 4 1986","C4-86","Q4-86","1986","1986-87"
"1987Q1","Chwarter 1 1987","Quarter 1 1987","C1-87","Q1-87","1987","1986-87"
"1987Q2","Chwarter 2 1987","Quarter 2 1987","C2-87","Q2-87","1987","1987-88"
"1987Q3","Chwarter 3 1987","Quarter 3 1987","C3-87","Q3-87","1987","1987-88"
"1987Q4","Chwarter 4 1987","Quarter 4 1987","C4-87","Q4-87","1987","1987-88"
"1988Q1","Chwarter 1 1988","Quarter 1 1988","C1-88","Q1-88","1988","1987-88"
"1988Q2","Chwarter 2 1988","Quarter 2 1988","C2-88","Q2-88","1988","1988-89"
"1988Q3","Chwarter 3 1988","Quarter 3 1988","C3-88","Q3-88","1988","1988-89"
"1988Q4","Chwarter 4 1988","Quarter 4 1988","C4-88","Q4-88","1988","1988-89"
"1989Q1","Chwarter 1 1989","Quarter 1 1989","C1-89","Q1-89","1989","1988-89"
"1989Q2","Chwarter 2 1989","Quarter 2 1989","C2-89","Q2-89","1989","1989-90"
"1989Q3","Chwarter 3 1989","Quarter 3 1989","C3-89","Q3-89","1989","1989-90"
"1989Q4","Chwarter 4 1989","Quarter 4 1989","C4-89","Q4-89","1989","1989-90"
"1990Q1","Chwarter 1 1990","Quarter 1 1990","C1-90","Q1-90","1990","1989-90"
"1990Q2","Chwarter 2 1990","Quarter 2 1990","C2-90","Q2-90","1990","1990-91"
"1990Q3","Chwarter 3 1990","Quarter 3 1990","C3-90","Q3-90","1990","1990-91"
"1990Q4","Chwarter 4 1990","Quarter 4 1990","C4-90","Q4-90","1990","1990-91"
"1991Q1","Chwarter 1 1991","Quarter 1 1991","C1-91","Q1-91","1991","1990-91"
"1991Q2","Chwarter 2 1991","Quarter 2 1991","C2-91","Q2-91","1991","1991-92"
"1991Q3","Chwarter 3 1991","Quarter 3 1991","C3-91","Q3-91","1991","1991-92"
"1991Q4","Chwarter 4 1991","Quarter 4 1991","C4-91","Q4-91","1991","1991-92"
"1992Q1","Chwarter 1 1992","Quarter 1 1992","C1-92","Q1-92","1992","1991-92"
"1992Q2","Chwarter 2 1992","Quarter 2 1992","C2-92","Q2-92","1992","1992-93"
"1992Q3","Chwarter 3 1992","Quarter 3 1992","C3-92","Q3-92","1992","1992-93"
"1992Q4","Chwarter 4 1992","Quarter 4 1992","C4-92","Q4-92","1992","1992-93"
"1993Q1","Chwarter 1 1993","Quarter 1 1993","C1-93","Q1-93","1993","1992-93"
"1993Q2","Chwarter 2 1993","Quarter 2 1993","C2-93","Q2-93","1993","1993-94"
"1993Q3","Chwarter 3 1993","Quarter 3 1993","C3-93","Q3-93","1993","1993-94"
"1993Q4","Chwarter 4 1993","Quarter 4 1993","C4-93","Q4-93","1993","1993-94"
"1994Q1","Chwarter 1 1994","Quarter 1 1994","C1-94","Q1-94","1994","1993-94"
"1994Q2","Chwarter 2 1994","Quarter 2 1994","C2-94","Q2-94","1994","1994-95"
"1994Q3","Chwarter 3 1994","Quarter 3 1994","C3-94","Q3-94","1994","1994-95"
"1994Q4","Chwarter 4 1994","Quarter 4 1994","C4-94","Q4-94","1994","1994-95"
"1995Q1","Chwarter 1 1995","Quarter 1 1995","C1-95","Q1-95","1995","1994-95"
"1995Q2","Chwarter 2 1995","Quarter 2 1995","C2-95","Q2-95","1995","1995-96"
"1995Q3","Chwarter 3 1995","Quarter 3 1995","C3-95","Q3-95","1995","1995-96"
"1995Q4","Chwarter 4 1995","Quarter 4 1995","C4-95","Q4-95","1995","1995-96"
"1996Q1","Chwarter 1 1996","Quarter 1 1996","C1-96","Q1-96","1996","1995-96"
"1996Q2","Chwarter 2 1996","Quarter 2 1996","C2-96","Q2-96","1996","1996-97"
"1996Q3","Chwarter 3 1996","Quarter 3 1996","C3-96","Q3-96","1996","1996-97"
"1996Q4","Chwarter 4 1996","Quarter 4 1996","C4-96","Q4-96","1996","1996-97"
"1997Q1","Chwarter 1 1997","Quarter 1 1997","C1-97","Q1-97","1997","1996-97"
"1997Q2","Chwarter 2 1997","Quarter 2 1997","C2-97","Q2-97","1997","1997-98"
"1997Q3","Chwarter 3 1997","Quarter 3 1997","C3-97","Q3-97","1997","1997-98"
"1997Q4","Chwarter 4 1997","Quarter 4 1997","C4-97","Q4-97","1997","1997-98"
"1998Q1","Chwarter 1 1998","Quarter 1 1998","C1-98","Q1-98","1998","1997-98"
